	event	homeTeam	standardPoint	awayTeam	gameType	winDistribute	drawDistribute	loseDistribute	finalScore	gameResult
0	EPL	본머스  		 크리스털	일반	승2.65	무2.95	패2.38	0 : 2	패
1	EPL	본머스  	H +1.0	 크리스털	핸디캡	승1.47	무3.90	패5.00	1 : 2	패
2	EPL	본머스  	U/O 2.5	 크리스털	언더오버	U1.60	-	O1.96	2	U
3	EPL	풀럼    		 사우샘프	일반	승1.73	무3.40	패3.80	2 : 1	승
4	EPL	풀럼    	H -1.0	 사우샘프	핸디캡	승2.95	무3.50	패1.95	1 : 1	무
5	EPL	풀럼    	U/O 2.5	 사우샘프	언더오버	U1.90	-	O1.64	3	O
6	EPL	맨체스C 		 에버턴  	일반	승1.09	무6.80	패14.00	1 : 1	무
7	EPL	맨체스C 	H -1.0	 에버턴  	핸디캡	승1.36	무4.30	패5.90	0 : 1	패
8	EPL	맨체스C 	H -2.5	 에버턴  	핸디캡	승1.79	-	패1.73	-1.5 : 1	패
9	EPL	맨체스C 	U/O 3.5	 에버턴  	언더오버	U1.75	-	O1.77	2	U
10	EPL	뉴캐슬  		 리즈    	일반	승1.39	무4.05	패5.90	0 : 0	무
11	EPL	뉴캐슬  	H -1.0	 리즈    	핸디캡	승2.00	무3.50	패2.85	-1 : 0	패
12	EPL	뉴캐슬  	H -2.5	 리즈    	핸디캡	승3.46	-	패1.18	-2.5 : 0	패
13	EPL	뉴캐슬  	U/O 2.5	 리즈    	언더오버	U1.99	-	O1.58	0	U
14	라리가	소시에다		 오사수나	일반	승1.81	무3.30	패3.55	2 : 0	승
15	라리가	소시에다	H -1.0	 오사수나	핸디캡	승3.55	무3.35	패1.80	1 : 0	승
16	라리가	소시에다	U/O 2.5	 오사수나	언더오버	U1.50	-	O2.13	2	U
17	라리가	비야레알		 발렌시아	일반	승1.82	무3.20	패3.65	2 : 1	승
18	라리가	비야레알	H -1.0	 발렌시아	핸디캡	승3.80	무3.50	패1.70	1 : 1	무
19	라리가	비야레알	U/O 2.5	 발렌시아	언더오버	U1.77	-	O1.75	3	O
