종목,홈팀,기준점,원정팀,게임유형,승,무,패,최종스코어,경기결과
NBA,밀워벅스,, 워싱위저,일반,승1.20,-,패3.30,123 : 113,승
NBA,밀워벅스,H -7.5, 워싱위저,핸디캡,승1.71,-,패1.81,115.5 : 113,승
NBA,밀워벅스,U/O 229.5, 워싱위저,언더오버,U1.81,-,O1.71,236,O
NBA,오클썬더,, 보스셀틱,일반,승4.96,-,패1.07,150 : 117,승
NBA,오클썬더,H +8.5, 보스셀틱,핸디캡,승1.70,-,패1.82,158.5 : 117,승
NBA,오클썬더,H +10.5, 보스셀틱,핸디캡,승1.82,-,패1.70,160.5 : 117,승
NBA,오클썬더,U/O 233.5, 보스셀틱,언더오버,U1.76,-,O1.76,267,O
NBA,오클썬더,U/O 228.5, 보스셀틱,언더오버,U1.76,-,O1.76,267,O
NBA,유타재즈,, 새크킹스,일반,승1.52,-,패2.09,115 : 117,패
NBA,유타재즈,H -3.5, 새크킹스,핸디캡,승1.79,-,패1.73,111.5 : 117,패
NBA,유타재즈,U/O 242.5, 새크킹스,언더오버,U1.71,-,O1.81,232,U
KBL,서울SK  ,, 원주DB  ,일반,승1.21,-,패3.23,97 : 63,승
KBL,서울SK  ,H -6.5, 원주DB  ,핸디캡,승1.70,-,패1.82,90.5 : 63,승
KBL,서울SK  ,H -7.5, 원주DB  ,핸디캡,승1.70,-,패1.82,89.5 : 63,승
KBL,서울SK  ,U/O 166.5, 원주DB  ,언더오버,U1.71,-,O1.81,160,U
KOVO남,대한항공,, OK금융  ,일반,승1.35,-,패2.53,3 : 0,승
KOVO남,대한항공,H -1.5, OK금융  ,핸디캡,승1.63,-,패1.91,1.5 : 0,승
KOVO남,대한항공,U/O 184.5, OK금융  ,언더오버,U1.76,-,O1.76,124,U
KOVO여,현대건설,, IBK기업 ,일반,승1.19,-,패3.38,3 : 0,승
KOVO여,현대건설,H -1.5, IBK기업 ,핸디캡,승1.44,-,패2.26,1.5 : 0,승
KOVO여,현대건설,U/O 177.5, IBK기업 ,언더오버,U1.66,-,O1.87,118,U
세리에A,살레르니,, AC밀란  ,일반,승6.30,무4.05,패1.37,1 : 2,패
세리에A,살레르니,H +1.0, AC밀란  ,핸디캡,승2.85,무3.40,패2.04,2 : 2,무
세리에A,살레르니,H +2.5, AC밀란  ,핸디캡,승1.15,-,패3.75,3.5 : 2,승
세리에A,살레르니,U/O 2.5, AC밀란  ,언더오버,U1.93,-,O1.62,3,O
